INFO  - 2014-11-12 17:17:47.182; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-11-12 17:17:47.265; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-12 17:17:47.272; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-12 17:17:47.391; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /SOLR/solr-4.10.2/example/solr/collection1/
INFO  - 2014-11-12 17:17:47.417; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-11-12 17:17:47.424; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /SOLR/solr-4.10.2/example/solr/collection1/, dataDir=/SOLR/solr-4.10.2/example/solr/collection1/data/
INFO  - 2014-11-12 17:17:47.428; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-11-12 17:17:47.435; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-11-12 17:17:47.436; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-11-12 17:17:47.525; org.apache.solr.core.CachingDirectoryFactory; return new directory for /SOLR/solr-4.10.2/example/solr/collection1/data
INFO  - 2014-11-12 17:17:47.545; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/SOLR/solr-4.10.2/example/solr/collection1/data/index/
WARN  - 2014-11-12 17:17:47.546; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/SOLR/solr-4.10.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-11-12 17:17:47.557; org.apache.solr.core.CachingDirectoryFactory; return new directory for /SOLR/solr-4.10.2/example/solr/collection1/data/index
INFO  - 2014-11-12 17:17:47.610; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/SOLR/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/SOLR/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-12 17:17:47.611; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-12 17:17:47.616; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-11-12 17:17:47.616; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-11-12 17:17:47.617; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-11-12 17:17:47.621; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-11-12 17:17:47.621; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
